mx_host,asn,asn_name,domain_count
mx37.mb5p.com,14061,"DIGITALOCEAN-ASN, US",15
mainmx4.darkprobe.com,14061,"DIGITALOCEAN-ASN, US",12
srv4.recoverhost.com,14061,"DIGITALOCEAN-ASN, US",11
aero4.stememail.com,14061,"DIGITALOCEAN-ASN, US",6
aspmx.l.google.com,15169,"GOOGLE, US",4
route3.mx.cloudflare.net,13335,"CLOUDFLARENET, US",4
mx4.beavis99.net,24940,"HETZNER-AS, DE",3
mx4.mb1p.com,24940,"HETZNER-AS, DE",3
mail4.outsideserver.com,14061,"DIGITALOCEAN-ASN, US",3
ereg4.brushemail.com,14061,"DIGITALOCEAN-ASN, US",3
gourmet7.spamgourmet.com,10439,"CARINET, US",3
generator.email,30886,"KOMITEX-AS, UA",2
emailfake.com,30886,"KOMITEX-AS, UA",2
email-fake.com,30886,"KOMITEX-AS, UA",2
w4.aerospaceemail.com,14061,"DIGITALOCEAN-ASN, US",2
route2.mx.cloudflare.net,13335,"CLOUDFLARENET, US",2
mx4.beavis99.com,24940,"HETZNER-AS, DE",2
mail.wabblywabble.com,14061,"DIGITALOCEAN-ASN, US",2
mx1.hostinger.com,13335,"CLOUDFLARENET, US",2
mx1.hosting.reg.ru,197695,"AS-REG, RU",2
tja.papierkorb.me,24940,"HETZNER-AS, DE",2
park-mx.above.com,133618,"TRELLIAN-AS-AP Trellian Pty. Limited, AU",1
mail.mailinator.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",1
mx1.beget.ru,198610,"BEGET-AS, RU",1
cname.chacuo.net,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",1
mx.4mznz.com,16509,"AMAZON-02, US",1
mx2.0662dq.com,200107,"KL-EXT, CH",1
mail.hope-mail.com,213230,"HETZNER-CLOUD2-AS, DE",1
mx.discard.email,197540,"NETCUP-AS netcup GmbH, DE",1
la4.inquirymailer.com,14061,"DIGITALOCEAN-ASN, US",1
web-lax-1.axfra.net,26666,"INTERSERVER-LAX, US",1
mx01.ionos.com,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",1
smtp.trashmail.com,24940,"HETZNER-AS, DE",1
hunterslaptop.0box.net,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",1
smtp.yopmail.com,16276,"OVH, FR",1
mx1.0clock.org,200107,"KL-EXT, CH",1
mx195.m1bp.com,14061,"DIGITALOCEAN-ASN, US",1
mx.dropmail.me,24940,"HETZNER-AS, DE",1
mxb.mailgun.org,396982,"GOOGLE-CLOUD-PLATFORM, US",1
mx6.emailowl.com,20473,"AS-VULTR, US",1
mail0001.0ne.lv,24940,"HETZNER-AS, DE",1
mx5.emailowl.com,20473,"AS-VULTR, US",1
mx1.mail.ovh.net,16276,"OVH, FR",1
0u.ro,16276,"OVH, FR",1
mx.emlhub.com,24940,"HETZNER-AS, DE",1
0v.ro,16276,"OVH, FR",1
0w.ro,16276,"OVH, FR",1
mx6.4-speed.net,13649,"ASN-FLEXENTIAL, US",1
mx.yandex.ru,13238 208398,,1
mx.spymail.one,24940,"HETZNER-AS, DE",1
mail.b-io.co,14061,"DIGITALOCEAN-ASN, US",1
mail.mailerhost.net,14061,"DIGITALOCEAN-ASN, US",1
malibuzz.107punto7.com,51167,"CONTABO, DE",1
mx.mimimail.me,24940,"HETZNER-AS, DE",1
mx4.mainnetmail.com,14061,"DIGITALOCEAN-ASN, US",1
route1.mx.cloudflare.net,13335,"CLOUDFLARENET, US",1
eforward3.registrar-servers.com,22612,"NAMECHEAP-NET, US",1
mx.10mail.org,24940,"HETZNER-AS, DE",1
mx.10mail.xyz,24940,"HETZNER-AS, DE",1
mx.yandex.net,13238 208398,,1
mail.10minut.xyz,31898,"ORACLE-BMC-31898, US",1
mail.10minutemail.be,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",1
ms1.fishyes.net,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",1
mx1.mijndomein.nl,211993,"SOVERIN, NL",1
mail.10minutemail.pl,50599,"Autonomous System for Dataspace P.S.A., PL",1
mail.casadorock.com,212317,"HETZNER-CLOUD3-AS, DE",1
mail.10minutenemail.de,197540,"NETCUP-AS netcup GmbH, DE",1
_dc-mx.4b51a05ff504.10minutesemail.net,24940,"HETZNER-AS, DE",1
mail.h-email.net,14061,"DIGITALOCEAN-ASN, US",1
em4.mainnetmail.com,14061,"DIGITALOCEAN-ASN, US",1
eforward2.registrar-servers.com,22612,"NAMECHEAP-NET, US",1
mx.powered.name,24940,"HETZNER-AS, DE",1
mx.111222.pl,14061,"DIGITALOCEAN-ASN, US",1
hzmx01.mxmail.netease.com,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",1
